,product_name,brand,water_usage_liters,carbon_footprint_kg,energy_consumption_kwh,packaging_waste_g,biodegradability,hazardous_chemicals,recyclability_score,environmental_certifications,environmental_impact_score
4767,MARIO Badescu Glycolic Foaming Cleanser,MARIO Badescu,21.0,0.06114479,0.1325,29,0.0,0,8,0,0.0921
4768,The Body Shop Tea Tree Oil Facial Astringent - 100ml,The Body Shop,0.479,0.202,0.13,22,98.0,4,4,0,0.549
4769,Lipstick,L'Oreal,7.2,0.83,0.27,13,0.31,4,6,0,0.25
4770,Kérastase Densifique Bain Densite,Kérastase,100.0,1.7,0.877,46,50.7,28,5,0,0.864
4771,Infused Natural Hair And Scalp Oil,African Naturalistas,27.0,0.0494999999999999,10.1375,75,0.998,1,7,0,0.0626300000000001
4772,CLEARSCAPE™ DRY SKIN CLEANSER,L'Oreal,1.85,3.99,1.34,78,0.69,0,6,0,0.999999942779541
4773,"Mouthwash, 500 ml",All Smiles,6.3,0.373,0.004,16,80.0,1,8,0,0.325
4774,ANTI BACTERIAL SHAMPOO,NATURAL BALANCE,565.0,0.3765,0.167,195,0.15,1,9,0,0.7703
4775,NIVEA MEN POWER SHAVE MEN'S GEL,NIVEA MEN,0.0,0.0,0.0,12,0.0,0,10,0,0.0
4776,clay mask whitening,shiseido,17.0,0.271,0.03,8,93.5,4,8,1,0.756
4777,L'Oréal Paris Hair Care Treatment Masque Nourishment,L'Oréal Paris,0.45,0.0035,0.0012,22,55.0,15,6,0,0.9057
4778,Urban Veda Moisture Rich Body Butter,URBAN VEDA,0.12,0.012,0.01,7,95.0,0,4,0,0.016
4779,Toner,Garnier,14.0,0.132,0.017,22,88.29,0,7,0,0.0095254576
4780,ASAP SUNSCREEN SPF 15,ARK,0.0,0.0,1.03,117,0.0,0,10,1,1.6000001907348633
4781,'OLIVE MILK CLEANSING MILK','THE BODY SHOP',4.14,0.149,0.0024,18,0.11,0,8,0,0.447
4782,Cream,SKIN AND COAT,572.0,3.632,7.101,111,62.4,0,7,2,1.188
4783,OIL OF OLIVE - FOOD GRADE,UNI-CHEM,16.0,0.1,1.39,28,100.0,0,8,0,0.144
4784,Bioderma Sensibio H2O Solution Micellaire,Bioderma,10.86,0.02583,0.00021,17,35.6,0,6,0,0.23344
4785,COSMOS CD,COSMOS,7.8,0.0,0.014,13,99.9,0,7,1,0.0
4786,Brolene,Brolene,250.0,0.01527784,0.00016446138,21,72.1235904,10,8,0,0.24406797
4787,The Lash,Fenty Beauty,15.19,0.28,0.14,28,0.44,10,3,0,0.3749999999999999
4788,Womanizer Pro 40,Womanizer,0.0,4.29,0.0501,24,0.0,1,8,0,0.25314534
4789,BRAND RIDGE STAIN,BRAND,11.29,0.01749197,0.008748962,103,96.666666,0,9,0,0.008531938
4790,HAIR CONDITIONER,Pantene,71.3,0.005,0.002,29,96.7,14,9,1,0.8149999923706055
4791,Real Face,Real Face,15.2,13.7,2.2,68,85.5,0,5,1,0.025
4792,NIVEA Aqua Feel Cooling Regenerating Moisturising Cream,NIVEA,15.0,1.15,5.98,3,70.0,5,9,1,0.5999999999999999
4793,L'Oréal Paris Age Perfect Hydra Nutrition Age-Replenishing Hydrating Cream,L'Oréal Paris,3.0,0.185,0.99,52,0.54,10,5,0,0.477
4794,Novelty Biodegradable Bubble Bath,Novelty,1.0,0.092156,1.365,130,0.0,0,7,0,0.200362
4795,Natural Honey,Sia,0.0,0.257,0.172,13,0.99,0,7,0,0.323
4796,Bounce Curl Touchable Curl Definer,Bounce,0.25,0.0,0.06,10,0.0,0,4,0,11.333333333333334
4797,Fresh Matt Face Cream,Cetaphil,4.2,0.015,3.16,24,0.96,25,4,0,0.06701411
4798,Aqua Matic Shampoo,Coco Collection,113.5,0.17700000000000002,0.5760000000000001,0,0.9702181080116884,0,9,0,0.5460000000000002
4799,Bubble and Squeak Shampoo,Cockney,10.0,0.0837,1.15,14,0.98,0,7,0,0.1392
4800,Eucerin Aqua-Clear Anti-Spot Serum,Eucerin,15.0,1.52,13.4,30,0.0,4,6,1,1.78
4801,Thermal Spring Mineral Water,AQUA CLOG,7.2,2.83,0.0256,27,0.84,10,2,0,0.564
4802,GREEN TEA SORBET 200 ML,BODY SHOP,17.0,1.52695412,1.86,6,95.0,0,5,0,0.699319989
4803,SAFEGUARD™ HAND SANITIZER,UNILEVER,0.22,0.0013,0.11,14,0.0,0,6,0,0.168
4804,Hair Oil,CocoRico,20.0,0.5725,0.0353,15,40.0,1,6,0,0.247
4805,Le Couvent des Minimes - Lait Créme Confortant,Le Couvent des Minimes,2.5,0.176,0.016,34,0.0,1,1,0,0.398
4806,NIVEA Soft Lotion,NIVEA,56.0,0.713,0.0056,25,5.5,4,5,1,0.857
4807,Nyx Professional Makeup,nyx professional makeup,32.0,12.0,1.6,42,0.55,2,6,0,0.448333333333333
4808,Ocean Salt,LUSH,31.0,0.12,0.0169,179,99.0,1,6,2,0.0326
4809,Essence of Neroli,Clarins,12.0,0.343,0.089,100,92.0,0,8,0,0.241
4810,Still facemask,Still,1.41,0.16,0.00048,15,0.0,1,5,0,0.3499999999999999
4811,Mint Toothpaste,Colgate,0.2,0.153745265,0.024,36,100.0,0,7,0,0.675520145
4812,Skin Defense SPF 30 Sunscreen,Coola,0.2,0.034609,1.3478,32,41.1,5,5,0,0.03468
4813,Kiehl's Ultra Facial Cream,Kiehl's,2.78,0.28,0.19,50,0.82,1,4,0,0.043
4814,BIO ESSENCE MARINE COLLAGEN ENERGY SERUM,BIO ESSENCE,5.0,0.053,0.107,130,0.63,1,8,0,0.154
4815,Alcoholic Lotion,Bright & Beautiful,14.0,0.0074174502,0.000417561,100,0.0,0,10,0,0.002573845
4816,Toner,Seoul Skin,16.0,5.4615,0.1475,28,0.0,0,5,0,0.9172
4817,Moon Shadow,Moon Shadow,28.0,0.0419,1.4,80,0.51,0,8,0,0.1387
4818,Hand Cream,LUX,24.8,4.869,0.12,30,0.95,2,1,0,0.602
4819,Deep Moisture Serum 30ml,Mary Kay,20.0,19.24,1.39,29,90.94,2,1,2,2.57
4820,Anti-Aging Moisturizer,Laura Geller,88.4,0.198,0.014,14,0.0,8,3,0,0.539
4821,Cetaphil Daily Facial Cleanser,Cetaphil,10.4,1.41,3.31,31,0.0,0,8,0,0.490409999999999
4822,Hair Color Deep Black,L'Oréal Professionnel,61.0,5.19,0.101,135,91.3,2,6,1,0.911
4823,LUSH SNOW FAIRY FACE MASK,LUSH,15.46,10.6,2.14,170,85.0,10,7,0,0.18427124
4824,Kakadu Plum Scrub,Bioderma,0.0,0.0,0.0,69,75.0,0,9,0,0.0
4825,Synthétique Hypoallergénique,L'Oréal,2.3,0.078,0.175,18,76.0,0,5,0,0.232
4826,Pure Organic Moisturizing Shampoo,Mogador,174.0,32.2,15.1,25,0.56,6,10,1,0.94750819
4827,Olay Total Effects 7-in-1 Advanced Anti-Aging Moisturizer,Olay,0.175,0.041,0.002,113,93.8,7,1,1,0.425
4828,Sensa Creamy Mousse Liquid Lipstick,Sensa,0.038,0.013,0.00065,28,91.0,1,7,2,0.071
4829,Orange Hibiscus Blossom Body Butter,Shea Moisture,0.0,0.534,0.0,19,88.6,0,10,0,0.971
4830,Kiss Me Lash Curl Mascara,Maybelline,0.8,0.0065,0.0145,12,95.0,3,9,0,2.3205
4831,BORN TO RESTORE,BORN TO RESTORE,11.13,3.64,44.06,26,88.93,2,5,0,0.24539658
4832,GREEN PEARL FACE MASK,BEAUTY OF JOSEON,2.0,0.019279417,0.005416667,4,0.034627452,0,0,0,0.044011307
4833,Lush Oatifix Fresh Face Mask,Lush,2.85,0.066,0.1,13,99.5,0,6,0,0.195
4834,Smooth & Suppl,LA ROCHE-POSAY,4.64,0.206,0.015,36,0.98,0,6,0,0.999
4835,Cell Care Intensive Moisturizer,Almay,105.6,86.3486,0.207,55,97.0,0,2,0,0.7426244
4836,Dove,Dove,1.0,0.099,0.39,21,99.4,0,9,0,0.234
4837,TRESemme Keratin Smooth Shampoo,TRESemme,135.0,19.9,1.7,199,0.1,7,7,0,29.2958333333333
4838,Mineral Eyeshadow,KARMA,0.0,0.0,0.0,20,84.0,0,8,0,0.0
4839,Garnier Pure Active Charcoal Anti-Blackhead Face Wash,Garnier,135.0,2.52,1.35,111,79.32,1,4,0,86.26
4840,St. Ives Apricot Natural Microdermabrasion Men's Facial Scrub,St. Ives,3.66,0.319,1.79,5,90.62,1,9,0,0.327
4841,Deep Wrinkle Filler Cream,Age-Less,44.98,13.84,0.52,45,0.57,5,3,0,0.782047118
4842,Giovanni Smoothing Leave-In Conditioner,Giovanni,7.6,0.149,0.413,18,93.36,0,9,0,0.032
4843,CHEMICAL PEEL,DERMA E,123.0,0.072945359,0.49,149,0.43,0,7,1,0.072945359
4844,Mascara (waterproof),MAYBELLINE,9.0,11.03599854,122.0,0,3.67,1,1,0,0.26
4845,Rouge d'Armani Lipstick,Armani,4.0,0.38,0.71,20,95.0,3,8,0,0.16
4846,Nivea Men Gentle Face Wash,Nivea Men,102.0,134.0840000000002,1.44,500,82.0,4,9,0,0.7223999999999989
4847,PUREAQUA EYE MAKE UP REMOVER,THE BODY SHOP,99.1,3.98,0.049,42,0.0,0,5,0,0.0305884809
4848,Majestic Cream,Yves Rocher,775.0,0.0,87.66100018933105,220,94.0,36,6,0,0.368074307180992
4849,Body Lotion,MOROCCANOIL,1.0,0.219,1.96,24,91.0,4,4,1,0.625
4850,Natural Hair Care,Natural,49.9,2.88,1.65,13,97.6,0,8,0,2.48
4851,Hair dye,Schwarzkopf,138.0,3.83,1.9,12,1.0,7,5,0,0.286328139
4852,Let’s face it,Let’s face it,3.5,0.008182279,0.002,0,0.0,0,6,0,0.003366878
4853,Cabbage and Sunflower Seed Leaf Cleansing Gel,Odylique,2.2,0.0199,0.02,6,0.89,3,4,2,0.2726
4854,Kiss Me Mascara,Maybelline,0.0,0.0,0.0,24,100.0,0,0,0,0.0
4855,Dove Soap,Dove,13.0,0.239,0.17,11,0.891,0,8,0,0.508
4856,Aqua 100%,NIVEA,43.0,3.014,0.012,12,1.0,1,10,0,1.9
4857,Sponge,British Beauty,1.1,0.015,0.001,2,0.85,2,0,0,0.914
4858,Clinique Pep-Start 2-in-1 Exfoliating Cleanser,Clinique,1.3,0.226,1.443,36,0.906,2,6,0,0.815
4859,Mascara,Essence,1.63,0.0104,0.15,46,0.2,1,8,0,0.0242
4860,Mediheal Real Fresh Clear Ampoule (15ml),Mediheal,96.5,0.40032732,16.1000001907349,137,6.4,11,2,0,0.49989945
4861,complexion perfector 24h radiance gel,Charlotte Tilbury,9.7,2.19,1.46,16,6.9,1,9,0,7.53
4862,P&G SKIN CARE PURE MILD CLEANSER,P&G,0.0,0.0,1.8,8,71.23,0,6,0,0.554605622
4863,FRESH & VIVA Chromatic Gloss Lipstick,L'Oréal Paris,0.0,0.0,0.0,8,0.0,0,0,0,0.0
4864,Innisfree Jeju Volcanic Pore Clay Mask,Innisfree,7.9,0.040829825,0.0005891066,4,100.0,0,5,0,0.98844348
4865,Shea Moisture Shea Butter Extra-Moisture Shampoo,Shea Moisture,1.14,1.27,0.073,19,90.2,1,6,0,0.638
4866,Eau De Toilette,Avon,1.7,0.129,0.063,7,98.8,12,6,1,0.386
4867,Nivea Creme,Nivea,10.0,1.36,1.16,20,75.0,1,5,0,2.34
4868,Garnier,Garnier,20.5,0.155,1.31,36,0.29,0,5,0,0.234
4869,POND´S FLORAL EXTRACTS NUTRITIVE NIGHT CREAM,POND´S,7.0,0.222,1.04,11,0.722,1,6,0,0.346
4870,L'Oreal Paris Color Riche Shine Lipstick,L'Oreal Paris,0.0,1.63,0.014,13,0.28,0,5,0,0.09029026
4871,Luxury Silk Shampoo,Just Natural,28.0,0.089,0.112,84,90.0,0,1,3,0.654
4872,Cosmetics,L'Oreal Paris,25.0,11.2,0.0,21,54.0,1,7,0,0.332694252
4873,21-Day Miracle Perfection Cream,Cells,2.42,0.073,0.001404,3,96.7,2,7,0,0.318598502
4874,PALMOLIVE TWO IN ONE SHAMPOO AND CONDITIONER HYDROXYCOPYLOLAMINE HCL,Palmolive,25.0,0.29057743,0.069,33,94.02,9,8,0,0.31812684
4875,Aqua Marine Hydration Cream,Weleda,0.17,0.0060166667,0.0089999997,9,0.5,3,4,0,0.36905
4876,KraveBeauty Kale-Lalu-Ya Superfruit Serum,Krave Beauty,0.0,0.0119,0.0376,25,0.69,1,7,0,0.3122
4877,Eyelash & Eyebrow Enhancer,RALDA,0.0,0.0,1.31,50,8.61,0,5,0,0.83
4878,Nivea Men Sensitive Post-Shave Balm,NIVEA MEN,0.0,0.0,2.3,9,83.0,2,3,1,0.112
4879,Cream for dry skin,"""Cetaphil""",2.2,1.33,1.74,10,40.45,1,2,0,1.006
4880,Ocean extracts face toner,Desert Essence,1.8,1.07,0.0216,110,74.27,1,1,0,0.89
4881,UNIVERSAL BODY LOTION MEN,NIVEA,5.0,0.028,0.07,24,0.0,0,5,0,0.019
4882,Dove DermaSpair Face & Body Wash,Dove,1.98,0.1042,0.0013,16,0.9478,0,7,0,0.2111
4883,Concentrated fabric conditioner,Fabric Softener,22.0,2.1,0.21,75,78.0,1,7,0,0.0191294097807566
4884,Refreshing mist,L'Oreal Paris,71.0,1.66,36.1,45,95.1,0,7,0,0.084
4885,Garnier Fructis Pure Clean Shampoo,Garnier,138.0,4.91,0.23,40,50.0,0,7,0,0.220666667
4886,COOL MOISTURE,GARNIER,2.5,1.69,1.0,5,73.0,1,5,0,1.05
4887,Olive Oil Conditioner,Olive Oil,0.84,0.004198664,0.014166667,112,100.0,0,7,0,0.022936118
4888,Fit Me Bronzer,Fit Me,0.0,0.09648,0.0,7,0.0,7,8,0,0.6875
4889,Spray Shower Gel,EOS,3.2,0.0109,0.35,14,0.0,7,7,2,0.995
4890,Bourjois Paris 1 Seconde Mascara,Bourjois Paris,0.14,2e-06,0.0044,14,1.0,0,9,0,0.0001774878
4891,Innisfree Green Tea Seed Serum,Innisfree,0.0,0.69857394,0.98670312,12,1.0,1,7,0,0.47573287
4892,Cynosure Elite+,Cynosure,1.15,0.229,0.032,148,0.45,0,8,0,0.223
4893,SENA COSMETICS PERFECT HYDRA PALETTE HIGH,SENA COSMETICS,1.0,6.75,0.082,14,97.3,0,7,0,0.3125
4894,Glamilynz Vegan Collagen Face Mask,Glamilynz,12.0,0.047,0.101,13,0.0,0,9,0,0.02
4895,Cetaphil Moisturizing Cream,Cetaphil,0.292,3.148,0.099,48,0.964,1,6,0,0.687
4896,Eyeshadow,Maybelline New York,15.0,27.48,0.604,30,53.2,3,6,0,1.178
4897,Dermashine - Dermashine,Dermashine,1.0,0.145,0.25,10,73.15,0,4,0,0.519
4898,Eau de Toilette,ESTÉE LAUDER,324.0,1.33,1.45,28,0.0,1,9,0,0.121428571428571
4899,TRESemmé Keratin Smooth Shine Shampoo,TRESemmé,196.0,7.20512264,15.37,26,92.0,13,7,1,11.47079033
4900,Beautiful Volume Lightweight Hairspray 300ml,Batiste,40.0,0.24,0.79,30,99.1,0,5,0,0.64
4901,"Dove Pure Beauty Body Wash, 200ml",Dove,11.4,2.05,1.64,131,0.49,14,4,0,0.661
4902,ELIXIR 50+,ANESSA,0.0,2.48,0.187,9,99.98,0,8,0,1.65
4903,Hydra-Glamour Intense Cream,Hydra-Glamour,10.0,0.0891,0.0254,22,96.6,2,9,0,0.3074
4904,Skinfection Gel,Dabur,0.0,0.0,0.0,0,0.0,0,4,0,1.5
4905,MY COSMETICS LINE PINK LAVA,MY COSMETICS LINE,37.0,0.069,0.286,23,93.0,0,8,0,0.59
4906,Kiss and Love Eyeshadow 03,Bubble Gloss,0.3,0.095,1.06,5,0.0,6,8,1,0.025
4907,JoJo Maman Bébé Lightly Tinted Lip Conditioner,JoJo Maman Bébé,0.0,1.516,0.049,18,0.14,1,3,0,2.86
4908,Frescolat aloe vera cooling lotion,Frescolat,45.0,23.42,0.19,175,92.0,1,8,0,5.68
4909,REGIMEN 24HR,REGIMEN,4.1,0.273501102,1.04,11,0.0,0,9,0,0.600097609
4910,Sensitive Skin Protective Cream,Lush,13.0,2.419,1.57,46,0.47,2,1,0,0.087
4911,Porecleansing scrub,Dermalogica,4.15,0.04463062,0.9864696,9,0.26,1,5,1,0.08241263
4912,Hydra-Lustre Conditioning Hair Spray,Garnier,32.0,7.6372,0.03,40,80.0,2,5,0,51.6826
4913,L'Oreal Paris Tinted Moisturizer w/SPF 15,L'Oreal Paris,8.6,0.0010000000474974,0.347,13,100.0,0,4,0,0.014241666006088
4914,Rose Face Mask,Neal's Yard Remedies,1.2,0.03,0.067,31,100.0,1,4,0,0.417046767
4915,Nivea Men Cooling Shower Gel,Nivea Men,18.0,0.304,0.058,50,0.16,1,0,0,0.01503214
4916,Kiss Me Shea Butter Lipstick,Kiss Me,1.0,0.105972099,0.065,12,0.13999999,0,6,0,0.079169143
4917,L'OREAL PARIS MAGIC SOLUTION,L'OREAL PARIS,142.6,14.739,0.15117,233,100.0,0,8,0,0.09468
4918,Eucerin Aquaphor Soothing Skin Balm,Eucerin,35.5,2.49,2.27,18,23.3,11,2,0,1.63
4919,ROC 360° UV Face Mist SPF 50+ - Sun Care,ROC,9.0,39.25010478,0.0,140,83.7,2,3,0,0.911602272
4920,L'Oréal Paris Pure-Clay Detox & Brighten Purifying Mask,L'Oréal Paris,1.2,0.0543,0.078,28,0.444,2,7,0,0.427
4921,Moon Milk Serum,Sunday Riley,66.0,2.62,1.07,10,0.0,4,2,0,0.869
4922,Mane & Tail Conditioner,Mane & Tail,0.0,0.0,1.74,100,0.0,0,9,0,0.0
4923,Lush Aquamarine Jelly Face Mask,Lush,13.83,0.4848,0.036000000000000004,18,96.0,2,9,0,0.51722486
4924,MULTI SENSORY TAROT EXPANDED,INDIANA,1.8,0.136,0.042,13,9.1,2,4,1,0.235
4925,YARDLEY LONDON - CLEAN FACE WIPES - VITAMIN E MOISTURE CLEANSING WIPES,YARDLEY LONDON,75.0,0.4764,0.9819,17,10.0,0,8,0,0.0435
4926,CLEOPATRA GOLD,CLEOPATRA,4.0,0.00852,0.00306,14,100.0,1,8,0,0.00667
4927,Night Rejuvenating Face Mask,L'Oréal,408.0,42.48,1.8,9,0.0,3,5,0,0.77805
4928,ELASTOSENSIL® Stabilising Fluid,VIVAPLUS,14.67,0.015371,0.0624,5,52.0,0,6,1,0.014492
4929,Lifter Soft Gel,KAO,5.7,0.0125,0.0015,17,100.0,3,7,0,0.411
4930,JASON NATURALS PITTAYA GEL SANITIZER 140mL,JASON NATURALS,0.48,0.0013728559,1.0690000000000004,31,96.0,0,9,0,0.001
4931,Cucumber Cleansing Balm,L'OCCITANE,103.0,1.96,0.106,8,78.79,2,7,1,0.294
4932,Face wash,NOVU,10.0,0.107958334,0.375269811,10,0.897740525,1,5,0,0.246534285
4933,Energizing Radiance Cream,Lancôme,13.3,0.466,0.553,10,29.4,0,3,0,0.707
4934,Bio-Orchidée Intensive Reparatif,Laboratoires Clarins,16.5,53.0,14.2,128,14.4,8,7,1,0.18390172
4935,CeraVe Hydrating Cleanser,CeraVe,122.0,2.302999988853882,3.7,16,25.0,0,9,0,0.5224999999999999
4936,Hand and Body Wash,Garnier,36.7,1.012696666666667,0.7125,21,95.49,4,7,2,0.923188181818182
4937,DEEPLIP® TUNED VOLUMESSING,Mary Kay,0.0,4.07,0.0064,100,85.0,0,3,0,0.1814
4938,Cetaphil Gentle Skin Cleanser,Cetaphil,0.054,0.001,1.79,5,0.504,0,5,0,0.115
4939,Mascara,Lancome,170.55,0.53827884,0.004797841,12,0.22962601,1,5,1,0.00795137
4940,Secret,Secret,0.2,0.092,0.042,0,0.99,0,8,0,0.071
4941,Vitamin E Skin Cream,Vitamin E,20.0,0.158,0.008,35,90.0,0,10,2,0.674
4942,MAKE MY MOUTH MATTE AND FILL,MAKEUP REVOLUTION,2.0,0.0168,0.00212,126,0.79,1,7,0,0.3624
4943,Ultra moisturizing body lotion,L'Oreal,10.7,1.43,1.39,36,89.0,0,7,0,3.45
4944,Eye Shadow,Maybelline New York,3.0,0.177,0.126,12,9.5,11,4,0,0.414
4945,COVERGIRL Lash Blast Volume Mascara,COVERGIRL,0.0,0.0012,0.000802,9,93.96,18,2,0,0.0102
4946,Baby oil,Babyliss,0.14,0.0156,4.25,20,0.02,0,4,0,0.1052
4947,Rose Water,NIVEA,129.0,2.453371487,0.389,37,52.0,1,9,0,1.353111916
4948,Pure Organic Coconut Oil,The Himalaya Drug Company,3.0,2.93,0.0206,23,0.9,0,10,0,0.19717109
4949,L'Oréal Paris Revitalift Filler 2-in-1 Serum + Moisturizer,L'Oréal Paris,2.3,1.89,0.34,21,0.97,5,7,0,0.49
4950,Pore Refiner Face Mask,Neutrogena,14.762,1.9765,0.265,16,96.13,0,6,2,0.6284
4951,MILK,NARS,35.0,103.1598,7.4,160,97.42,1,8,0,0.257899929
4952,Skin Care Routine,Natural Beauty,0.55,0.018022889,0.009204661,0,0.9876448,0,9,0,0.001611599
4953,NIVEA SENSITIVE MEN 3 IN 1 SHAMPOO + CONDITIONER + BODY WASH,NIVEA,1.7,0.065,0.53,87,50.0,0,6,0,1.13
4954,Rosehip Oil,Weleda,1.0,0.862,0.276,140,0.909,2,4,0,0.284
4955,Mineral Sunscreen Lotion SPF 15,Neutrogena,100.0,0.161,0.39,33,0.0,0,2,0,0.333
4956,Purifying Moisturiser,Toppik,1.0,0.028052842,0.003622711,15,45.0,4,1,0,0.666666666
4957,Hippie Butterfly,Hippie Butterfly,1.0,0.02640000000000001,0.003580000000000001,21,88.41,0,8,1,0.3177000000000001
4958,Masque Couscous & Nectarine Fruit Scrub,Klorane,2.95,0.214,0.024,20,92.0,1,5,0,0.698
4959,SHOCK BABY SHAMPOO,TIGI®,150.0,1.58,3.81,24,81.0,12,7,0,0.41374279
4960,Burberry Weekend Eau De Toilette Spray For Women,Burberry,0.0,0.12,0.1,6,0.23,10,6,0,0.34
4961,NIVEA Pure & Natural Dermatologically tested body lotion with aloe vera and shea butter (100 ml),NIVEA,5.0,0.044,1.12,173,94.0,5,7,1,0.225
4962,"Mario Badescu Facial Spray with Aloe, Herbs, and Rosewater",Mario Badescu,1.73,0.00453215,0.0001887445,11,0.49,1,1,0,0.3566748
4963,Rose Hand Cream,NIVEA,3.0,0.2905,0.0225,44,69.76,0,0,0,0.0593
4964,E.l.f. Cosmetics Matte Lip Cream,E.l.f. Cosmetics,75.0,0.018300001,0.355,38,0.0,1,2,0,0.078560001
4965,Miss Universe Lips Shine,Miss Universe,365.0,0.53,0.83,19,25.69,13,3,0,0.4232142857
4966,"Liquid Soap, Natural Hand Sanitizer, Gel",RADIANCE,219.0,0.163103114,3.88,62,91.0,0,5,0,0.83035638
4967,Clair Unlimited Hydrating Facial Serum,Missha,29.67,0.0144,1.59,16,0.52,2,8,0,0.0597
4968,ECO-FACTS - 24H Mascara,L'OREAL PARIS,0.42,0.00315,0.00582,1,2.805,0,1,0,0.691
4969,Aqua,CLARA,0.0,0.25,0.2,2,0.89,0,5,1,0.18125
4970,CAUDALIE VINOPERFECT RADIANCE SERUM,CAUDALIE,0.1,0.12,0.22,8,50.0,6,1,0,0.6849999999999999
4971,Araaz on the Maison Francis Kurkdjian Parfums range,Maison Francis Kurkdjian,0.26,1.61,2.77,12,0.0,3,6,0,0.61
4972,Pearl Powder,Watsons,9.7,0.459,0.245,14,0.0,0,5,0,0.274
4973,Eyes of Gold | BareMinerals,BareMinerals,0.0,0.091,0.66,6,0.0,2,8,0,0.132
4974,L'Oreal Paris Elvive Nutrilock Shampoo,L'Oreal Paris,12.7,0.043,2.41,41,37.49,11,2,0,0.683
4975,NIVEA,NIVEA,2.7,0.005264909,0.00131782,39,0.98685384,6,9,0,2.79029603
4976,Hair Therapy Hair Treatment Mask - 150ml,L'Oreal Paris,11.5,0.0557,0.0149,29,46.4,6,3,0,0.5152
4977,Soy and Avocado Nourishing Body Milk,Burt's Bees,44.0,0.0768,1.59,18,91.0,1,8,1,0.6855
4978,Pure Pawpaw Ointment,Lucas' Papaw Ointment,12.61,0.069530236,0.122672097,14,0.899999976,0,3,0,0.31018516
4979,Cetaphil Gentle Skin Cleanser,Cetaphil,2.65,0.106,0.36,15,94.0,0,8,0,0.25
4980,"Garnier Dry Hair Solutions, Intensive Hair Treatment Masque, Color Protect Pink Shades, 135ml, 135ml",Garnier,21.0,0.23,0.36,35,80.0,2,2,0,0.28
4981,Pink Sparkle Iconic Emoji Lipstick,Iconic Emoji,1.0,0.00016,0.037,21,0.94,1,6,0,0.13332887
4982,Skin Care,Dove,1.0,0.087,0.46,20,0.0,1,8,0,0.357
4983,Eyelashes Shampoo,Avon,3.6,0.029591985,8.4088e-05,10,0.2,0,10,0,0.086887298
4984,Anti-Aging Cream,L'Oreal,2.0,17.69,0.26,18,0.25,2,9,1,0.17
4985,NIVEA MEN POWER AFTER SHAVE BALM,NIVEA MEN,15.5,0.480366597,0.971251934,16,0.58,13,5,0,0.058114724
4986,Milk Moisture Lip Balm,NIVEA,0.43,0.000145,0.021,3,0.93,3,6,0,0.82263194
4987,Pacifica Cosmetics Light Reflecting Concealer,Pacifica Cosmetics,0.0,0.2654,0.0056,25,94.62,16,6,3,0.6532
4988,Spa White by Spa Senses,Spa Senses,2.0,9.47511582,0.73007986,23,85.5,0,1,0,0.169412793
4989,Avène Thermal Spring Water Spray,Avène,0.1,0.025,0.0047,39,89.3,3,6,0,0.5026
4990,Birch sugar,Boscia,399.94,1.16,1.67,5,90.0,0,10,1,0.102295121346312
4991,Neutrogena Hydro Boost Epidermal Light Gel Cream,Neutrogena,30.0,0.0448,0.045,37,0.0,4,7,1,0.0303
4992,Elizabeth Arden,Elizabeth Arden,0.1,0.153,0.009,18,1.0,0,8,0,0.352
4993,Nail Polish,Opi,2.0,0.01956826,1.625e-05,10,0.82,1,3,0,0.4224844
4994,Pink City Lipstick,Pink City,1.35,3.73,0.009358186,217,0.001740196,0,6,0,0.02709351
4995,1961 Orchid Eau de Toilette,Halston,3.0,1.3,0.08,101,60.0,2,7,0,0.6112820000000002
4996,Natural Hair Oil - Grapeseed Oil,Karme,0.0,0.0,0.0,12,100.0,0,9,0,0.0
4997,Garnier Fructis Pure Clean Shampoo,Garnier,0.0,0.411,0.0,15,2.0,2,3,0,2.321
4998,Dove Beauty Cream,Dove,2.95,14.360000000000024,1.098,201,0.0,19,2,0,0.10999999999999997
4999,AROMATHERAPY ASSOCIATES RENEWING RADIANCE DAY CREAM SPF30,AROMATHERAPY ASSOCIATES,1.0,0.043,2.37,35,94.0,2,6,1,0.192
5000,Mama Bear Body Lotion,Mama Bear,1.0,0.0,0.0,8,98.0,0,9,0,0.0
5001,Napkin,Miskin,1.0,1.726,0.738,10,0.162,8,2,0,0.562
5002,Nail Hardener,OPI,0.0,0.193,0.003,10,20.0,2,3,0,0.212
5003,BIO-ENERGY MASCULIN EAU DE TOILETTE,BIO-ENERGY EAU DE TOILETTE,4.69,1.23,0.007157747,70,90.8,0,8,0,0.55743831
5004,Delight,Garnier,1.5,0.00745,15.0,42,0.049,2,1,1,0.00025
5005,garnier,garnier,2.0,1.206770031,0.070931936,28,90.0,3,8,2,0.352983037
5006,Cleansing Oil for Face and Eyes,Missha,22.0,0.0115,6.87,160,0.0,0,5,0,0.153806293
5007,La Roche-Posay Anthelios XL Ultra-light SPF50+,La Roche-Posay,0.0,0.55,0.0,117,10.0,2,0,4,2.910825395163549
5008,Lip Balm,Garnier,21.0,0.122,32.0,13,0.0,0,6,0,0.031
5009,BIO-PEELING,HUNTERS,14.0,0.68390625,2.78125,121,79.73376863115234,1,6,0,0.74267578125
5010,Albion,Albion,565.0,12.64,0.0,61,92.0,0,8,0,0.0058816418
